date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:09	16812/16812	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202023%2023:34:10%20GMT	https://www.otarot.net/tarot-oraculo/expectativa.php	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/tarot-oraculo/expectativa.html	(from )
20:34:10	222/222	---M-Z	200	added ('OK')	text/plain	etag:%2226d-577f2e58a4a42-gzip%22	https://www.otarot.net/robots.txt		(from )
20:34:10	12570/12570	---M--	200	added ('OK')	image/png	etag:%22311a-577f2e65c5f5a%22	https://www.otarot.net/images/favicon.png	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/images/favicon.png	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:11	10611/10611	---M--	200	added ('OK')	image/png	etag:%222973-577f2e83e3e5d%22	https://www.otarot.net/images/icons/apple-touch-icon.png	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/images/icons/apple-touch-icon.png	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:11	14283/14283	---M--	200	added ('OK')	image/png	etag:%2237cb-577f2e851a71a%22	https://www.otarot.net/images/icons/apple-touch-icon-72x72.png	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/images/icons/apple-touch-icon-72x72.png	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:11	28445/28445	---M--	200	added ('OK')	image/png	etag:%226f1d-577f2e842b2fc%22	https://www.otarot.net/images/icons/apple-touch-icon-114x114.png	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/images/icons/apple-touch-icon-114x114.png	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:11	147480/147480	---M-Z	200	added ('OK')	text/css	etag:%2224018-577f2e5e02a92-gzip%22	https://www.otarot.net/css/bootstrap.css	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/css/bootstrap.css	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:12	72082/72082	---M-Z	200	added ('OK')	text/css	etag:%2211992-577f2e5de26f2-gzip%22	https://www.otarot.net/css/animate.css	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/css/animate.css	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:12	24856/24856	---M-Z	200	added ('OK')	text/css	etag:%226118-577f2e593c021-gzip%22	https://www.otarot.net/style.css	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/style.css	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:12	1827/1827	---M-Z	200	added ('OK')	text/css	etag:%22723-577f2e5682be9-gzip%22	https://www.otarot.net/global.css	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/global.css	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:12	11807/11807	---M-Z	200	added ('OK')	application/javascript	etag:%222e1f-577f2f2ab5d43-gzip%22	https://www.otarot.net/js/picturefill.min.js	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/js/picturefill.min.js	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:13	165616/165616	---M--	200	added ('OK')	text/javascript	etag:7705272442284318513	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1516487466373126	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/pagead2.googlesyndication.com/pagead/js/f6031.txt	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:13	18162/18162	---M--	200	added ('OK')	image/png	etag:%2246f2-577f2e6649cb8%22	https://www.otarot.net/images/logo.png	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/images/logo.png	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:13	8693/8693	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202023%2023:34:13%20GMT	https://www.otarot.net/tarot-oraculo/	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/tarot-oraculo/index.html	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
20:34:14	49671/49671	---M-Z	200	added ('OK')	text/css	etag:%22c207-577f2f62262be-gzip%22	https://www.otarot.net/tarot-oraculo/style.css	C:/Users/Windows/Desktop/copia%20de%20site/expectativa/www.otarot.net/tarot-oraculo/style.css	(from https://www.otarot.net/tarot-oraculo/expectativa.php)
